target_id,candidate_id,path,sha256,model,global_confidence
8Y03_G,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8Y03_G/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,7cdc2a49001e7cdd776c877625e23059a6e839dfd80b6d79a49c791bc15bf902,cfg97_20ckpt_e2e,0.3304653763771057
8Y08_B,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8Y08_B/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,d498981cb73a5e2275d09ad6783ac0dac44f90b2f39b74341fccb34df535c141,cfg97_20ckpt_e2e,0.33337464928627014
8Y08_B,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8Y08_B/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,8cbaea154bdcec09209e8bca2b1a8902ce39e2731df8ed3c0b5e68493c058901,cfg97_20ckpt_e2e,0.3304653763771057
8Y0B_B,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8Y0B_B/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,1c1aa6267eff272025a006938cc9f1c789730d35bc45183c5b39a3442f7878eb,cfg97_20ckpt_e2e,0.21929283440113068
8Y0B_B,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8Y0B_B/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,133126397ebbd358734ba991ebe784d9f909b7c770cf70dbe4934f3f50c177e1,cfg97_20ckpt_e2e,0.17168740928173065
8ZOL_A,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/8ZOL_A/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,8a2aba26cdc08be8c575f82a1ed21997b404d44705da8f61b11c6278809ac087,cfg97_20ckpt_e2e,0.08937545120716095
8ZOL_A,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/8ZOL_A/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,6153d40670983989da5d978f8673315305fcb6678af3e8021e7046d8b6ad91db,cfg97_20ckpt_e2e,0.08090155571699142
9D85_T,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9D85_T/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,62640eeb477181c28feaf345d9b4891554500a57f0fbaec7edd97d86929afab1,cfg97_20ckpt_e2e,0.3883303105831146
9D85_T,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9D85_T/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,2c089c3e91f754487869ae44ab378fe7a4a9a442ab5bd727d25f3556a20a8dee,cfg97_20ckpt_e2e,0.38596469163894653
9FI8_hB,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9FI8_hB/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,c4ec4131eced4a4868f7202d7ad8a177b27916a11890deb66c7c9bf7cb494016,cfg97_20ckpt_e2e,0.4126170575618744
9FI8_hB,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9FI8_hB/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,4b59cab0db765c351b43f21ea2fa69c5e9cb2111e7a3ba96c9c6c5a77d84dd26,cfg97_20ckpt_e2e,0.3200547397136688
9FI8_hL,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9FI8_hL/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,bba51ac9813bf34a079f48fcc90360059ea3fd3a889851652f6bb9f7bb995314,cfg97_20ckpt_e2e,0.3959004878997803
9FI8_hL,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9FI8_hL/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,68a3818ae96b40191628d4185c066102a0252321b10a85c778e23d6280268169,cfg97_20ckpt_e2e,0.3886535167694092
9FIA_bJ,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9FIA_bJ/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,c3ab86ee3dc82733e1db8da4572d67078676ef00e3967c97eff4d367f19b390d,cfg97_20ckpt_e2e,0.09944979101419449
9FIA_bJ,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9FIA_bJ/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,545e15c4dfa1aab56469be2676859d781bd5119fd5822b06bfc242650243e0e3,cfg97_20ckpt_e2e,0.08131023496389389
9G6K_l1,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9G6K_l1/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,58bd2c5b8e6999120b13f8f08304adf95ecd79f3ff7abc255f7cdce00da03da8,cfg97_20ckpt_e2e,0.1720232218503952
9G6K_l1,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9G6K_l1/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,ca16f29e367b22059e1b98d03f1b18b7bdefdcb1962b535d13cd3bc5f82b4269,cfg97_20ckpt_e2e,0.1630595624446869
9G6K_l3,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9G6K_l3/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,7dda3d44de77cc1e120617e5c6ee747a907924dd48aad85324f9f9f8b4b25711,cfg97_20ckpt_e2e,0.1265443116426468
9G6K_l3,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9G6K_l3/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,aa964311c65babbb5948d9fcfaa80ec86604507538ebe02e0cedaaf8115d462c,cfg97_20ckpt_e2e,0.11736946552991867
9G6K_l9,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9G6K_l9/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,42a922140d9ae1d32ec5e7b595e1e9b52fed28f3c0aa33304db1a5af4c307b9b,cfg97_20ckpt_e2e,0.10727144777774811
9G6K_l9,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9G6K_l9/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,6331b3b04f5d14a1cceceb8e657fb30587381ebae421ae57668de7b8f72270bb,cfg97_20ckpt_e2e,0.08774560689926147
9G6K_lA,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9G6K_lA/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,92cf134823bd5c4a993140e2c3fc43246e09d0d3ec70797852b3a7b9074b1c03,cfg97_20ckpt_e2e,0.24643836915493011
9G6K_lA,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9G6K_lA/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,008951d9d19d1ef15523cd397b4bd88711efc0d5af2c386128102b074a60a44d,cfg97_20ckpt_e2e,0.21559199690818787
9G6K_lB,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9G6K_lB/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,d94e58f5ffcf3b519eff1ca1d2d9de9ea176de4adf161d600873dba69808ecff,cfg97_20ckpt_e2e,0.22862505912780762
9G6K_lB,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9G6K_lB/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,e2600d9293eaba4963c37f145a553cac25d9f0113896a615f2733ade6e04f575,cfg97_20ckpt_e2e,0.1941479593515396
9G6K_lK,drfold2_e2e__cfg97_20ckpt_e2e__01,data/cache/geofuse_candidates/train_v2/9G6K_lK/drfold2_e2e__cfg97_20ckpt_e2e__01.npz,2f93e81b9574952c26f5433866752247fdb775474bcc5247062187930b1d3588,cfg97_20ckpt_e2e,0.3413865566253662
9G6K_lK,drfold2_e2e__cfg97_20ckpt_e2e__02,data/cache/geofuse_candidates/train_v2/9G6K_lK/drfold2_e2e__cfg97_20ckpt_e2e__02.npz,1b588c472ab4e0f087b23d0d09f0a6d9e2602c3b3e9b5d638b77848cdb30c790,cfg97_20ckpt_e2e,0.2879660129547119
