target_id,source_dataset,temporal_cutoff,sequence_length,normalized_sequence_sha256,canonical_sequence,native_residue_count,native_resolved_count,native_resolved_fraction,native_valid,used_for_p0_prior,development_exposed,native_score_or_supervision_exposed,failure_case_exposed,known_exposure_reason,later_date_scope,length_scope,technical_valid,later_eligible_pre_duplicate,exact_sequence_representative,exact_duplicate_excluded,later_eligible_exact_deduplicated,mmseqs_sequence_similarity_cluster,exposed_cluster,drfold_structural_overlap_status,drfold_language_model_provenance_status,boltz_overlap_status,external_exposure_status,provisional_after_repository_audit,provisional_untouched,final_included,eligibility_state,evidence
1AQ3_S,kaggle_train_v2,1997-12-24,19,a66186c05d783df9ef242183e76e8874f1d519a07db5074bc4a13cee02139ab1,True,19,12,0.631578947368421,False,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,False,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1AQ4_S,kaggle_train_v2,1997-12-24,19,a66186c05d783df9ef242183e76e8874f1d519a07db5074bc4a13cee02139ab1,True,19,14,0.7368421052631579,False,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,False,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1ATO_A,kaggle_train_v2,1997-11-12,19,ca2c4da2f757302f9188b5d82998954c063caa6d3b211f710f1e42879818e5cc,True,19,19,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1ATV_A,kaggle_train_v2,1998-02-25,17,cfd60936d04c709571afb7850defeb3fc21ea7ede83b192897b4bee7806328d0,True,17,17,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1ATW_A,kaggle_train_v2,1998-02-25,15,7ef4f8bbdf149860329cd58dbf8cd70f6829098c162285ec3365884a0309695a,True,15,15,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1AUD_B,kaggle_train_v2,1998-02-25,30,f925791fcc4e9992ef3259d6c520baea7731d3c674ad5625b0e59fffbc53b67e,True,30,30,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1AW4_A,kaggle_train_v2,1998-04-15,27,9f36b04217eecc855fbb1d7ef0e638c6d30c9c3329ff7b004cf77b699e5189f0,True,27,27,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1B01_E,kaggle_train_v2,1999-11-19,19,e8d3728d612f2da0da029277d634d4374b9e6e14e8ed2c3f69f5cf0d2899225a,True,19,19,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1B01_F,kaggle_train_v2,1999-11-19,19,37b38be7dbb81805a5e59ed677c56e194fada6a748af81147ea8b5f7325d8c13,True,19,19,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1B36_A,kaggle_train_v2,1998-12-23,38,bc5277436539450514b6d04bd0fe22632b4e0556da97bad4d5a9c01de9cbda7b,True,38,38,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1BAU_A,kaggle_train_v2,1999-04-27,23,c35a13ee2f94efb53ccc313dec5d44f9db2867a2fcc1283957b529313e4c6e9e,True,23,23,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1BGZ_A,kaggle_train_v2,1999-01-13,23,ed915062c05f765ec53ec9765f0e5c8fd4c4264c8ad946226c799214741604ab,True,23,23,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1BR3_B,kaggle_train_v2,1999-02-23,28,95491da45b319358b99c6e4b64c3b3afc73ec5ff5482233bfe0df7a1c474a3f8,True,28,28,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1BVJ_A,kaggle_train_v2,1998-12-09,23,2edb36641ac17962ade4b132ba860c5b7cd1da1e94a92f8466d50767b5b4e119,True,23,23,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1BYJ_A,kaggle_train_v2,1999-10-29,27,bbdab9cde9655d13304e9bbf2ad29392e5c6e58541cc9dc473f29b7b529f1eed,True,27,27,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1BZ2_A,kaggle_train_v2,1999-04-27,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836,True,17,17,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1BZT_A,kaggle_train_v2,1999-04-27,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836,True,17,16,0.9411764705882353,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1C0A_B,kaggle_train_v2,1999-11-23,77,eb3b7b0c79383b6761703320f6c953b25376611e73aee9d0ec7ff2557a296b26,True,77,68,0.8831168831168831,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1C0O_A,kaggle_train_v2,1999-08-31,14,fcc8f2f91f85372551589a091e36a76411e056737c8fb1a405afbb2af44f410b,True,14,14,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1C2W_B,kaggle_train_v2,2000-04-10,2891,784f60d4bc4205451c8ca99d6e986bb15213ec81a3e92aba8710675db8d91cf1,True,2891,2891,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1CQ5_A,kaggle_train_v2,1999-08-23,43,d65beb44e8bb51d55ab03b9179a434b6a3a8b278bba59256a6c72363c01c7727,True,43,43,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1D0T_A,kaggle_train_v2,2000-05-24,21,35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9,True,21,16,0.7619047619047619,False,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,False,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1D0U_A,kaggle_train_v2,2000-05-24,21,35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9,True,21,21,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1D16_A,kaggle_train_v2,1989-01-09,16,cbad6314c9a60794b1bb2416a7ad6817017311513c9369b859be81a3ecefa007,True,16,16,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1D6K_B,kaggle_train_v2,1999-11-22,37,a0b40068d8fea2386e26c72914bafc4eb3387a6dbea6f51c4f31aa80b1770c3a,True,37,37,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1DV4_A,kaggle_train_v2,2000-02-02,362,995c9dd8275568c6b3bbbda9e8c5ad8c7eb59fbf1c051fc3bc0add96e86dbe55,True,362,362,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1E4P_A,kaggle_train_v2,2001-01-16,24,1792a60d6c640a33076ed73e910c65b6d66758bab30c1d0c294bd695b9114031,True,24,24,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1E7K_D,kaggle_train_v2,2001-02-19,22,5ad12a8cfa0622cbfa974a16c490a4899411e8387b501b9ffe6d124ab33ed711,True,22,17,0.7727272727272727,False,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,False,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1E8O_E,kaggle_train_v2,2000-11-08,50,949e471568dbfabe274b08c251b05f0974cc29ee42796c0dab4aecefa13d965b,True,50,49,0.98,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1E95_A,kaggle_train_v2,2001-08-23,36,788aa7b394ed9edf5178d44494eff9bab5bc73bd5dbb4a4091fcbfe21d4da0f3,True,36,36,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EA4_Y,kaggle_train_v2,2001-07-05,21,3e43b38812c59b8fd976fdb5119151d41c1052daafada1f55f6f7c4ef9e4cd3b,True,21,21,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EA4_Z,kaggle_train_v2,2001-07-05,21,62fce0612f05653b3f250c515a98abcfc97ed0d2871f463f8fa0bb14b50d4834,True,21,21,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EBR_A,kaggle_train_v2,1997-07-07,30,13385c7239731251c760bcdc3f7ab8e46a7220e5f479f385d20f2073d04a274c,True,30,30,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EBS_A,kaggle_train_v2,1997-07-07,29,35eb1c995460c07bae66d95cfe2e7af1b248fb12c73c252d5b89ded465c024ea,True,29,29,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EC6_D,kaggle_train_v2,2000-02-21,20,86ecb76417b919a31517a8e393f222493cb3e305f546ac9b64371d7ac4a5908c,True,20,20,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EFW_C,kaggle_train_v2,2000-06-19,73,ff4dbb1671c39f7c178c4d818c187d5b74e371d1e861ef91a950528257b7d9f6,True,73,63,0.863013698630137,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EGK_B,kaggle_train_v2,2000-06-26,34,f6cd2ba909ec9f710d6471b2bbef7419b966366eef100cc88329eb41134f9d6a,True,34,34,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EI2_A,kaggle_train_v2,2000-03-06,25,e35c8599c960a450716afb747ebb69b6d583c092880ea8d95fd4673058cd4d7a,True,25,25,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EKZ_B,kaggle_train_v2,2000-08-21,30,dc490a6d9e08aa57de68c59e7fe625cc0e2a4a9aeb7da1e43af929d4e9f959a5,True,30,30,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1ESH_A,kaggle_train_v2,2000-04-24,13,e57e40cc051a45ea25f663ea5f1104244a99e3bb64b76f0b5ec50a3661efdf58,True,13,13,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1ESY_A,kaggle_train_v2,2000-05-31,19,66165706cf44035c13d0f15aa38abe92883a72f25312f2ae7597468533aabea2,True,19,19,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1ET4_B,kaggle_train_v2,2000-11-13,35,6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e,True,35,35,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1ETF_A,kaggle_train_v2,1997-03-12,34,ae7282bb3bb9778802f80a6cfe85108ca46601be0dbfbfddc86e18dca5216813,True,34,34,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EUQ_B,kaggle_train_v2,2000-06-04,72,a964a43fc6c522d376e164fb1890f4490ebf1cb2444e24d90cbb26ac3e1577af,True,72,72,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EUY_B,kaggle_train_v2,2000-06-04,74,d564bc841a6832c7327cbee7b78bcedb01a9b4465b970ac72e7b34d22679e240,True,74,73,0.9864864864864865,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EXD_B,kaggle_train_v2,2000-05-15,73,b75d467b7b4d6f26b9ad670fc4249f1afd17a251eb01407d5a1da81fd5482e6c,True,73,73,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1EXY_A,kaggle_train_v2,2000-05-15,33,810d301af2478298fc5ff9a477b3557fde3c7ab9701abc803a5620224a774094,True,33,33,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1F1T_A,kaggle_train_v2,2000-09-04,38,c67ca09a644d991f4a901efe5479d8c5148e0a2089a7ddec1e11bdbbdb0b6258,True,38,33,0.868421052631579,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,True,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
1F27_A,kaggle_train_v2,2000-06-12,19,bd5d53ace537afcc3807e1acc0fa50c09800198e2a6ce8cddeae0499e7da3655,True,19,19,1.0,True,True,False,True,False,P0 production geometry-prior training from native C1' coordinates,False,False,True,False,,False,False,,False,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,NOT_IN_CANDIDATE_POOL,AUDIT_PENDING,False,False,False,P0_PRIOR,scripts/run_phase2_priors.py
