target_id,temporal_cutoff,sequence_length,normalized_sequence_sha256
1ETF_A,1997-03-12,34,ae7282bb3bb9778802f80a6cfe85108ca46601be0dbfbfddc86e18dca5216813
1EUQ_B,2000-06-04,72,a964a43fc6c522d376e164fb1890f4490ebf1cb2444e24d90cbb26ac3e1577af
1EUY_B,2000-06-04,74,d564bc841a6832c7327cbee7b78bcedb01a9b4465b970ac72e7b34d22679e240
1EXD_B,2000-05-15,73,b75d467b7b4d6f26b9ad670fc4249f1afd17a251eb01407d5a1da81fd5482e6c
1EXY_A,2000-05-15,33,810d301af2478298fc5ff9a477b3557fde3c7ab9701abc803a5620224a774094
1F1T_A,2000-09-04,38,c67ca09a644d991f4a901efe5479d8c5148e0a2089a7ddec1e11bdbbdb0b6258
1F27_A,2000-06-12,19,bd5d53ace537afcc3807e1acc0fa50c09800198e2a6ce8cddeae0499e7da3655
1F5U_A,2000-08-21,18,ca583add02d1df3e16bb0221d3aa840babc575712683b213ab88bdef63542b84
1F6U_B,2000-10-09,19,66165706cf44035c13d0f15aa38abe92883a72f25312f2ae7597468533aabea2
1F6X_A,2000-10-09,27,678329421f0937aacb4ac483d3a362abed17fb69352baa8bf2309aeb2a00632c
1F79_A,2000-10-09,27,b6eb96458cd3617760b51e10f6b2b387527bc1bce929e3729a98fdee96ec8f12
1F7U_B,2001-06-27,64,6acf4ec1ac41f629bae6b593f593c1eceb33aea6c158776d96ca6fad9d01319e
1F7V_B,2001-06-27,61,da88d29ba4672e2c9200b0ad8a62717f435f98aa91c1b259d3fafe9ad2c3810b
1F7Y_B,2000-11-22,57,a6b495c442a92f9fc34a1a6941859b0f77f0b7a8411aec8bdda50173771fe5ae
1F84_A,2000-11-17,29,9c4284eb922c53102502b8303854ab4ba81b51918e7d0eb49d87954811f1147d
1F85_A,2000-11-17,14,b34d98feec7a9666dcbe38466205201827ae68ffa0cbea37470245b31a2985c9
1F9L_A,2000-07-26,22,664fff6ef92722ed06e057fc81ffc7c815b5f301cc54660bc9f0f92dc2138dc0
1FEQ_A,2000-11-22,17,85b7c7e32b2002f70d9c46a34479417cac426a8cf911e607f33a610b30b200a5
1FFK_0,2000-08-14,2706,b6cd82e757c9ff54da47ba74c0d6b7937d438e09d08c35aca696f8f5115b5f01
1FFK_9,2000-08-14,122,dfd3de7e030b318feef57d595066feb0db93248ca32278cd4595d7a64d72074c
1FFZ_A,2000-08-28,602,44f028698cd5179ded4aa3b479b8b7213b7b3829b1ce4a4ec1c559dae32508fc
1FHK_A,2001-03-21,14,ce454022cbfcd33ba3ecd0f1d894df52b3c9677b94f72c94128435ebb2939a75
1FIR_A,2001-01-17,76,27408d675e934c85f8717f3049764c0c80e1cf4522b89deef0a7631a195fc6e7
1FKA_A,2000-09-04,1479,26bcd4b081157ac64b779956b0f64ef71acf8b3bbdaaaaed4df3413a6b209499
1FL8_A,2000-10-16,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836
1FMN_A,1996-07-11,35,a99a31ecdaf435ade91d9528b9d45af224072e16ae1528596ecae44328f906bf
1FOQ_E,2000-12-22,120,ceee183f53d37322018adfae769d72c9cc602c0f0c4632d229abfb98b04fbeaa
1FQZ_A,2001-01-17,27,82100a3406fdc8d30456dba52b72786c3a281dc4fdcaa2624cf73f1846088e20
1FUF_A,2001-11-09,14,860d4caba50157b106a9376d80d85306aca3c8d3634135ac0436855aed3d8a76
1FYP_A,2001-03-14,27,d5ca4348f83c40fe2a3fc79ba2de597dd0a2af2f63f83d6f1058f0a5b0109af3
1G1X_D,2000-10-30,41,26e73ed18c0a18630c55a9928e5ed125dfb109a894cd9bb14cf472103a143a3c
1G1X_I,2000-10-30,41,26e73ed18c0a18630c55a9928e5ed125dfb109a894cd9bb14cf472103a143a3c
1G1X_J,2000-10-30,44,eee1252a6ca42e79b8e5648ce16b127c2adb478c5bb41a0662bc8d4e65132ca0
1G59_D,2001-09-01,75,4ee0be19e291a390d50334567f8265f423cf9ebc88329e5d9155a650aaba6c2d
1G70_A,2001-02-07,32,fa7b2bca709d39cc16d5045b6d1e45bb9bdc595b11687933184e09feac63acac
1GID_A,1996-12-31,158,8a1e41513d99bd249b5eb07bd5db319f2b09d2c359b4f90b65d8a392bdd361de
1GRZ_B,1998-11-24,247,6507e7e6f7c95541b00c79d2576b33ab15c2210f7012bb580cf6e02650274c6c
1GTR_B,1995-02-07,74,ce84d211b7b383dac494845e07019d580b997b742300039da4c49a9f590c1747
1H3E_B,2002-10-27,86,6ddb54771905707ca96ddd8199880c9bfbebadc2de119664db311d86e0f68f5a
1H4S_T,2001-06-18,77,d680463826c91f4054a0c6d934d7f1db4f48b70460fcfdf9f2dce48567045465
1HC8_C,2002-05-23,58,23b2537cfb779a8ecbca46ecb0bc3e4185a9c4d268813c295c1bd784b9959745
1HLX_A,1995-09-15,20,278f742087727f5ff552bbab1b3589c1325920da6dc64af5eb0b058e0d1f14ee
1HMH_E,1995-12-07,34,d3a6b36e33ec0b805fe349594e759afe225ec7f6c783900ebe0a551076b1de55
1HNW_A,2001-02-21,1507,e24bfe12137a5eb89204af9a51a29892ab543f4dc1ddfcc4b3381f7551348791
1HOQ_A,2001-11-07,12,9b8a60c410451981bf7d3aacb27718190f221204e418762624c03c9ef76cdd6e
1HQ1_B,2001-01-03,49,f5f9d078a6e003ea031f9e9a31baeea5c449c361aac6753309f94caf3cab1193
1HR2_A,2001-04-12,158,8082a35ee8de8599b1861024d3e07470d82e3f2f2cf8204b8f7c75ecfe6e9d67
1HR2_B,2001-04-12,158,8082a35ee8de8599b1861024d3e07470d82e3f2f2cf8204b8f7c75ecfe6e9d67
1HS1_A,2003-09-02,13,1fb38eb8beb9fb51c42e7de343f0dc74c35d3c82df2f9dcc7a9fe109b1c33f3e
1HS2_A,2001-08-29,13,301fbdbe836e42129d6a54b2abb7d142fe0b058086e3054f32aa917d1b434789
1HS3_A,2003-09-02,13,f0be565a1e8af11bedf09d6753a3c9e3d06e7348cc26308494734b2069e2b041
1HS4_A,2003-09-02,13,1d89fa5e04a61a812716ec426d4f0076973fa6793f5ef1c9134b1f6d4aa2b7c9
1HS8_A,2003-09-02,13,b38f39d12cc31d8a97a31911307a52a7af90e72bbcf5b3356e538451c767d9e1
1HVU_F,1999-01-13,30,d5b9b4d00e738b8e59043222117561ed14ecde168927f310a7f92e979a925403
1HWQ_A,2001-05-16,30,1904d068fc830212884adf1e0ae2dd4fb27624cb601fe8250a9b09b3c3e239c3
1I3X_A,2001-04-04,19,23b376e7cafed8fe54e00e71dd5aa895c230bf95440a84bcc322b872a7f363e5
1I3Y_A,2001-04-04,19,23b376e7cafed8fe54e00e71dd5aa895c230bf95440a84bcc322b872a7f363e5
1I46_A,2001-04-21,13,1e4b9bdab0aff515a1ff8cab71301f7a90d02d0b76fcb33e7657291939ab1d3f
1I4C_A,2001-04-21,13,148f127a55f465139d5a41b1a493a629c8ceb35527166b6550ef450d8d63f0c9
1I6U_C,2001-08-03,37,c4dea87dd79cc7a6187812ed5d5947126690238430d6313f4f819fbb202171e4
1I95_A,2001-04-12,1514,c8b3f9b367ba18d97e8ed9d234e61f8e588c83a2ff672b2987933fe524213916
1I9V_A,2001-06-04,76,28890de0dd2033379fabebc7165a219d6092ad9bbadc77f4c7528be78963ca0b
1IBM_Y,2001-05-04,15,4dacc75d9e9ab4b87435f454670b0e461b5e1744e043050edfc205820e9cbd06
1IDV_A,2001-10-05,10,3dbe3fb54272346785c84a3e47147c1a986e98847ced07d6ef5eb21cf0bcb9a0
1IE2_A,2001-06-20,22,e3b3032a770e589fb2d7318f55e67c93cc19dd0b8ce2920f36b7c74b0d58e060
1IF1_D,1998-02-25,26,831bacb0dc214918a8e85d0604f1ca018f92c2f80b5b5a1b08edcf073755a0e4
1IK1_A,2001-07-18,14,0683ed070d660254d0fc2e9428cd82d626ddef6bb89f1e066a4b9dc89aff2586
1IKD_A,1997-04-01,22,b5b63bc3abb6156d264b1d0bba237aeb5783c6734ac9dc60f63468d0d58a4141
1IL2_C,2001-09-28,75,5c75aee225e2a845d327e94bf67b43c27b4c214df2bfd57e7870893c2a418cde
1IL2_D,2001-09-28,75,5c75aee225e2a845d327e94bf67b43c27b4c214df2bfd57e7870893c2a418cde
1IVS_C,2003-02-11,75,92dd0e86266ca91af1900846acb9e536640a6cc06665ad0cf84d5742af810794
1J1U_B,2003-06-03,77,0beda179d28f51e3728b1916486b52b01c1127bc0a516330ee93b19a8aa89059
1J2B_C,2003-05-27,77,230e65b6837dd5fc35abe439b0ec435c7ef29e66cc327736ad5677edca8789bb
1J2B_D,2003-05-27,77,230e65b6837dd5fc35abe439b0ec435c7ef29e66cc327736ad5677edca8789bb
1JBR_D,2001-10-26,31,16a2fd9cc63fdcbd9ea3c98c90f5cce757b83243d5b86359242db91e7bf80360
1JBS_C,2001-10-26,29,4f60370e151afc9f09aa968324110638a279aaa6f7e05c967bd9003791d3e6bc
1JBT_D,2001-10-26,29,ab2d32767577228fed9c0c51c81894d6e939f56fdd5014fd0b1651d7c6c3b877
1JEY_D,2001-08-10,31,16558e2e450d62dc186d555167b9839dd67e3dc4bc9ee26b9ef6196997044a68
1JGP_B,2001-07-20,76,28890de0dd2033379fabebc7165a219d6092ad9bbadc77f4c7528be78963ca0b
1JGP_D,2001-07-20,74,e5714c80662b48f28cdbbbb6de9e4084358428b8db0825c00927e791560667b7
1JID_B,2001-10-19,29,839933b9a2e6bd7cbe03d76a86d9d0d71d7e118d1fda7a0656c8fb98f42a0afc
1JO7_A,2001-09-19,31,699bd9b78cef5418002096c41d28732b18994aa1ce2805ce442b39ed1b7aae26
1JP0_A,2002-05-01,21,6bf8072e8a5f98800427912c588bf7c1880d45304bee97b470c40fb046f27c3f
1JTJ_A,2002-12-11,23,315b8f9d2d1913420168211f29b64a918f2e7d4510f327183f1c2c756223cef3
1JTW_A,2001-12-12,16,9191150a6a5c57ac3e320ca6141eee91ac269f231fa6bed00c7bf0c19c65ad6e
1JU7_A,2002-03-20,28,d9d09e680eb0b0b76ea8df4325e7ebdd47852655501a6a6ab5906e5af1923935
1JUR_A,2002-01-16,22,186e9b04cda34d853eb6b316b94cd3df6adc07b0596434792709b06b14047201
1JZC_A,2003-10-07,13,4f81aa0e232ac0f364c8ad3e225703e09b2eb4ccc01737d2c064923187123b85
1K01_A,2001-10-26,2774,110b020c5ff463e1a0dbb363cb6b363fddd6966c88ead5ded01720819b0381a4
1K2G_A,2002-05-08,22,9e286a27108ccb9c0fb9404d6e4faaffc5757378d0ba5f710da4d9141fadc43e
1K4A_A,2001-12-19,14,63fd7d858343f251089024a5fe64b7821a8826c1fdf0b6277af00ea9c234bd9c
1K4B_A,2001-12-19,14,0fc86745cee61935602391e286349981ee20c2794e7c3b7250f7f1f3ebcfaa8f
1K5I_A,2001-10-17,23,6218652259c88ed7bf7b91360be1262936e48218d4b553dc91c8ae691cdb0a3a
1K6G_A,2001-12-19,22,dbd8d994c8635e18c6f49c98880a042d0cf66e7ca81be3b344bcdfc68da2db33
1K6H_A,2001-12-19,22,f205820448be858ecfbf1b9ee747d2476f13dbe5eaf98edb780c753081602146
1K8W_B,2001-12-31,22,ecd400e07d65f561767320689156c744b8b698349668150dc5e57bf5fd7dfcff
1K9W_C,2001-11-30,23,58c4b1cdd14d1ddb334bfd49603d376c755cd7fc17df12cf8c0a3decc07e0098
1KAJ_A,1996-07-11,32,695c665c06392992c3eefcae81e20a2ed60ad439da426a1d99a300215084cc74
1KH6_A,2002-04-26,53,3bd1e20971d1c445a839e5b676d8ba0ffdd6a87780ce17afe3f696f67e2c0b4b
1KIS_A,1997-10-15,16,d9121649f14a8177cbcaf0b749d5a6e2c5205df74a9846771f60ea77f421417e
1KIS_B,1997-10-15,16,930b1f20f5cf03dc9323b5b15f265119c99fb7e382387a6fc4b2e8b970111765
1KKS_A,2002-03-13,24,e34803070bfa34de32b9b21434bb64c5a8cf78315b380f2e3d2880348da53be4
1KOG_N,2002-04-26,37,a2d970ffee7e336311c9b1c657d4385bd2c8855cb15bc29137f401d92f3befc6
1KOS_A,1999-10-22,17,b02b289d17aa831d7e1b8cd3cfd77a92a068b16d24dce64bff78f28527535e4e
1KP7_A,2002-04-10,30,1558041e4826eede246bcf622509da9adecb3f0161ec85e15d2a7fe4201bb5ca
1KPD_A,1997-04-01,32,ce20212754a91d21e134e5d8506bf94f0d51feeec1e6d35f6f2612dbcf1c58b5
1KPY_A,2002-01-11,33,f878a3d1e81db502fd9e782ba5889e8e6ffe2523cb07c8f143a46503a1f2e72a
1KXK_A,2002-03-22,70,01754b7b064fe5e23932dcc2108e46fee6d76ed9281f5779de9766d9d6404940
1L1C_C,2002-03-27,29,75f7b772c463bfe782aa83adc8ad5c45b3167f20a1ab50e84bc8e0a6aba214ec
1L1W_A,2002-05-22,29,655fa93805943fd97e2328e5fc6f47ae575b214f749690d227276251f30fdc91
1L3D_A,2002-03-22,28,144698bb56246ab0d67b5798c4d96d3f3596af0625c2bd1abbf0d539ab244296
1L8V_A,2002-08-23,157,18b391fa65cdbcc8f23ba2ccfe5c0e0b654208d10a6f84c98578c64ed03c503c
1L9A_B,2002-06-28,128,c08d00617f93b59e01036388f937b2d16387d44bf1b3234642ca18515365376c
1LNG_B,2002-06-07,97,5e92b90eeaa3c2f3ef079bf6a8702d7f196a1992dbb17d92585b053a8c0c3ffd
1LU3_A,2002-06-26,17,7c32e95c7d0365849287c2f6275c29e53eab2b58521ab505bd2f7316baedacae
1LUU_A,2003-09-09,17,ed2b6d32f7e816104cbb6d58109a0323a976e05c7a6e02764ea6c2288b6e29fc
1LUX_A,2003-09-09,17,ed2b6d32f7e816104cbb6d58109a0323a976e05c7a6e02764ea6c2288b6e29fc
1LVJ_A,2002-12-11,31,cd5105e94f2bdc81c986eccc5b29fa09f39c585c812482413a48d6f9ffe2486c
1M5K_E,2002-08-02,92,60e177bae09dca904356fe44a5f2c12b338ed814bb39f44b97fc274a555d1135
1M5L_A,2002-09-18,38,d3ca3e55d4de46109dfe650c628dca660fe9fbbc9fb841dd26b8f010b25daf3b
1M5P_E,2002-10-12,92,60e177bae09dca904356fe44a5f2c12b338ed814bb39f44b97fc274a555d1135
1M82_A,2003-06-03,25,a4ed69ec978048d650885f8bbc06da6d967a9bfb8c9eb8e3e400f340ccc4f315
1M8Y_D,2002-09-25,10,a641dc832a5330a5813f2541bfb4812750ae3cbb415efe25835e798580e961a7
1MFJ_A,2002-11-06,20,80ed9731b074fc30824fdfce0fa50fd04acf2a2a52eb5a17dd88883be5f01c70
1MFK_A,2002-11-13,23,c170b2174fcc1c1080a70537b3c70bd226bd2c59a559d1f2fee142a57836b697
1MFY_A,2002-09-18,31,a159e244394b2f85c86a5434473a0be10bd78dc35a87bbe4ac1c98f81d3f3235
1MJI_D,2003-01-21,34,4e67cd35f94432db5b75f664e7bc566ea11f305212ada20b140f985afb188d85
1MME_D,1996-02-06,25,dc1f27ba554c277210dc9bb0a3eae03c609e3c6492f733273b3b382043edd07a
1MNX_A,2003-01-14,42,c16b53d912a4f73e6603e4591fbe6de3f4b184a535ea3169789011a4d306a580
1MSY_A,2003-02-25,27,67e651962acc5a2e06e3ad0d6f4913fd9b610a4142548a8e5578c8a63f4a607a
1MT4_A,2003-01-14,24,41f48d00b5a6d550be40aaab6af1b4e4fd1e0b757b42c0f914a3d7be42662aa9
1MY9_B,2003-10-07,14,876c70f686aab516d3f6506cb40db708999f106177aa84dfb2892bb111aebaa7
1MZP_B,2003-01-21,55,ff9b80bb8a917df22f977af394217e3ef36b16b2e6c382b224adf54df4b518d3
1N32_Y,2002-11-29,17,731d40535226bffced6a9e27815864850f5a08070161758cc4e526aa39d48e25
1N33_Y,2002-11-29,17,89f202de05e47e6d0e868c78064465bbfe34a9b8d431985f19b7d622f7acc89c
1N34_A,2002-11-29,1513,f08ed8540caf901dbe8b4046650f54fb19b8d602f5c2cd031655a8ee0c8d94c5
1N53_A,2003-04-29,16,2424d2f208efd3b53f126c646fba7541ac2e6757e8c60b31c6d45eb146e8952c
1N66_A,2003-08-19,22,ed1436aa839d16123dab1c8c0e175295f302b8997b734aff9b8a7d1203479b1b
1N8X_A,2003-04-08,36,c5f98782da7d47952d44982cd95e663cbe2eb66732c1d8bd397881c5a8363278
1NA2_A,2003-01-21,30,54dca14ddef6b571997bc1105915b5ade90d66b3085e22cdbca7461b38038059
1NBK_A,2003-12-03,34,73a71a1b0044852234a8be155cef7a13de3626cfc1768ed515dd3e46b879c8a9
1NBR_A,2003-03-04,29,27a22b896afad950ef14e5c3884f09b8d6ba68e0a19906d3b36553080cd5e6ee
1NBS_A,2003-02-18,155,c35eacd719d1427a0026b91d2ab9a44489e20cd0769855b47cd4f578034a3d3f
1NBS_B,2003-02-18,155,c35eacd719d1427a0026b91d2ab9a44489e20cd0769855b47cd4f578034a3d3f
1NC0_A,2003-02-25,24,a91fe1a2b4dfc64a7811f0b34c4532277e5dca2064237a7a623c95c4dbff4a58
1NEM_A,1999-08-31,23,c19a887bb472e49b19e361391f042f89d0633790936c7f74438a54bed8dd5a1d
1NJM_5,2003-02-11,35,d357a9b57907ba78248d08622e4c9afb4398aa45d5e9db62086eb08dd3437a32
1NTA_A,2003-05-13,22,775fa2195f8471fb62d6526162a97e0e7b2fc7f82240b9e458d97843a0f661ab
1NTA_B,2003-05-13,18,20611477dd6ef9c8c41d0fce2b770228974e6ad109106fb7392d64bedf2db294
1NYB_B,2003-06-24,24,65df180c859b8107ade3d8261ef495647d57060578a4bffe6433fa3cc12d5e72
1NYI_B,2004-02-24,24,c0799ec4c2147ac8dbc1b845741e5ec47e5c50e8fbf78466ff176ea9c8415851
1NZ1_A,2003-05-13,24,291b8161a6920c48f9fe1afcc744b13729a08a2659eda9c9af97156ff09409fc
1O15_A,2003-02-18,33,a46732703b3efe46f02790e0c2ff26fefafd27ab2e14aedf50e10a57c1a25696
1OB2_B,2004-05-27,63,d4653089dea547c492359414b34c60152061343d52e1ec0c7c7e3f3e15f4acd9
1OB5_F,2005-10-13,62,1673ef58d211b9f03733c60eaf32e5171dd7997cf1ec998422a1128ca903fb01
1OND_0,2003-04-15,2765,02fb1ff381993fcc0c4262d2a32202abb7706f72fda7f0a32387d00ee34437b1
1OOA_D,2003-07-22,29,278c4841aadb79f4482e6ee8ef485dfadef90729402a4cf6d62f6bec21c4e405
1OQ0_A,2003-05-13,15,9b6856e61265f29df27ee3ac6a6338e676eded17048bfd4b9dea31be199009ae
1OSW_A,2003-05-20,23,c97314fb065bd5eb3d67a1e98c7d9d0f51ce5821edf370fc8ae8d7c439be7381
1OTC_D,1999-04-12,12,13b3eb052a83bda111856c5f6875900c956f3e7627ce9bd7eef999734062ecf7
1OW9_A,2003-05-20,23,990f2d560214dd3e2c494004ed23fadb0f4eaba5f4011bab28e0125d0a16fe64
1OZ8_A,2004-04-08,24,ad8d7dfb27d51c57392308973cad60a93bde6e6c685c07d57fa5c2690ae26378
1P5M_A,2003-11-04,55,1d2bcbceaeea581dae85abc4cddbcb581f541eac967ed045209ab8e3bb08d4c8
1P5N_A,2003-11-04,34,38e238585ad0504fcf48cd6fcfc1ce97dedf52e58d23d2517e3400f49e8e3c96
1P5P_A,2003-11-04,77,4d91ab7aaa2d22e8ad746be3dc974822c4315cc66ac12b926b3c806102670a66
1P6V_B,2003-08-12,68,752394f2e012697d59ddcf3bf71e4f72b0613ac91ae5dae49064fe78beb452a0
1P6V_D,2003-08-12,68,752394f2e012697d59ddcf3bf71e4f72b0613ac91ae5dae49064fe78beb452a0
1P9X_0,2003-08-05,2738,f83fe2446ead043fbb2e1a94e125761d75d765de133b28a633df18d60784042a
1PA6_D,2003-06-10,12,c2d248e8ca56b60bd5c1c2f887b9b38fa47a9e17259c258a1da40cb798d2bdad
1PH1_D,2003-06-17,13,b3a83922f34f1c30774476f78bea68f984a1de6393b581fe391946e6faa10b08
1PH3_D,2003-06-17,12,bee90140ac78982c855624bb59f5185ab67bea185214d66badff371273401a72
1PH4_D,2003-06-17,12,ea71317410d1c3f476aa4cc866f8d288f0c5a4d843e0a72758e767b341e72712
1PH6_D,2003-06-17,11,cc9a22c52c5be3410f0e28448e0a265aa4c67ec208eb007beed69f4d04a80656
1PH7_D,2003-06-17,10,4127184bdb058bdc25b43aff749058f6447dea23b157279de659b61b14a8e8f1
1PH8_D,2003-06-17,11,ea72c10df331b16ae70d28f8de70ac4c6e591a6a86df34c433d8d297be23451c
1PH9_D,2003-06-17,11,6b27d5f00e5a289b1e76e7afc208f4a8690531e509a73a0361e70c47ad18ffb9
1PHJ_D,2003-06-17,11,a2055f30897273bd9b5d040affe052b8337f6d2bc6e529fc47a8c8e8f22772da
1PJY_A,2003-08-05,22,8dfe0b749fca6da4607650b8a539d6aa9033a3989e6c27617babeee5bc0efec4
1Q2R_E,2003-09-09,20,a2fddf9118e1f4e092c40fe0aea79109d082ac1dbcd050476c28390770785564
1Q2S_E,2003-09-09,19,a3818c1c1b2ba141f509d229f1109b57d67907184b4795d1cb5678bc03d95e14
1Q75_A,2003-12-23,15,3b6da834e1b6a50e6579323cba25543b9d0bb1f0dbd8faf887cd7c2b795a1437
1Q7Y_A,2003-10-07,2754,1be4decef2ff27b601f95f42adf14f263c474f510355441eccded7724610156f
1Q8N_A,2004-03-23,38,c67ca09a644d991f4a901efe5479d8c5148e0a2089a7ddec1e11bdbbdb0b6258
1Q93_C,2003-11-25,27,6e8a0ec9624a2874553c19ffc6e71fdca28d5c0032244f2485c71b3bcf636424
1Q96_C,2003-11-25,27,510db062463ef010d16784df38681a8e9cdbd98ca58f2f71c2a29b3403ea42b1
